variable,type,var,tab_1,f_1,f_2,f_3,f_4,metric,export_1
new_nloy_nkc_missex_units,1,Misses Exclusive,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_3,Misses Exclusive_New Customer_Non Loyalist_Non Kohl's Charge_Units
new_nloy_nkc_ocbb_units,1,Occasional Big Basket,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_3,Occasional Big Basket_New Customer_Non Loyalist_Non Kohl's Charge_Units
new_nloy_nkc_odis_units,1,One and Done In-Store,Sales,New Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_3,One and Done In-Store_New Customer_Non Loyalist_Non Kohl's Charge_Units
new_nloy_nkc_odol_units,1,One and Done Online,Sales,New Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_3,One and Done Online_New Customer_Non Loyalist_Non Kohl's Charge_Units
new_nloy_kc_other_units,1,Sales - Other,Sales,New Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_3,Sales - Other_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_dcp_units,1,Discount Cherry Picker,Sales,New Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_3,Discount Cherry Picker_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_fsloy_units,1,Kohl's Full Store Loyalist,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_3,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_iseth_units,1,Kohl's In-Store Enthusiast,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_3,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_kids_units,1,Kohl's Kids,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_3,Kohl's Kids_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_mens_units,1,Kohl's Mens,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_3,Kohl's Mens_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_oleth_units,1,Kohl's Online Enthusiast,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_3,Kohl's Online Enthusiast_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_missex_units,1,Misses Exclusive,Sales,New Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_3,Misses Exclusive_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_ocbb_units,1,Occasional Big Basket,Sales,New Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_3,Occasional Big Basket_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_odis_units,1,One and Done In-Store,Sales,New Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_3,One and Done In-Store_New Customer_Non Loyalist_Kohl's Charge_Units
new_nloy_kc_odol_units,1,One and Done Online,Sales,New Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_3,One and Done Online_New Customer_Non Loyalist_Kohl's Charge_Units
new_loy_nkc_other_units,1,Sales - Other,Sales,New Customer,Loyalist,Non Kohl's Charge,Sales - Other,m_3,Sales - Other_New Customer_Loyalist_Non Kohl's Charge_Units
new_loy_nkc_dcp_units,1,Discount Cherry Picker,Sales,New Customer,Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_3,Discount Cherry Picker_New Customer_Loyalist_Non Kohl's Charge_Units
new_loy_nkc_fsloy_units,1,Kohl's Full Store Loyalist,Sales,New Customer,Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_3,Kohl's Full Store Loyalist_New Customer_Loyalist_Non Kohl's Charge_Units
new_loy_nkc_iseth_units,1,Kohl's In-Store Enthusiast,Sales,New Customer,Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_3,Kohl's In-Store Enthusiast_New Customer_Loyalist_Non Kohl's Charge_Units
new_loy_nkc_kids_units,1,Kohl's Kids,Sales,New Customer,Loyalist,Non Kohl's Charge,Kohl's Kids,m_3,Kohl's Kids_New Customer_Loyalist_Non Kohl's Charge_Units
